2017-11-08 20:53:33,274 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "file_info"
2017-11-08 20:53:33,277 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_info_uid", data type 1, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_path", data type 12, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_size", data type 3, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_name", data type 12, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_extention", data type 12, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "uploader", data type 12, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "upload_time", data type 93, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..file_info"
2017-11-08 20:53:33,278 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..file_info"
2017-11-08 20:53:33,280 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "file_info_relate"
2017-11-08 20:53:33,284 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_info_relate_uid", data type 1, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "relate_uid", data type 1, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_info_uid", data type 1, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "business_class", data type 12, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "file_type", data type -6, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_number", data type 4, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "update_time", data type 93, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..file_info_relate"
2017-11-08 20:53:33,285 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..file_info_relate"
2017-11-08 20:53:33,287 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "order_address"
2017-11-08 20:53:33,292 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "adress_uid", data type 12, in table "study..order_address"
2017-11-08 20:53:33,292 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..order_address"
2017-11-08 20:53:33,292 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_id", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver_phone", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_province", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_city", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_district", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver_address", data type 12, in table "study..order_address"
2017-11-08 20:53:33,293 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "used_default", data type 4, in table "study..order_address"
2017-11-08 20:53:33,294 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "latest_used_time", data type 93, in table "study..order_address"
2017-11-08 20:53:33,296 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "order_attach_info"
2017-11-08 20:53:33,300 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_attach_uid", data type 12, in table "study..order_attach_info"
2017-11-08 20:53:33,300 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_uid", data type 12, in table "study..order_attach_info"
2017-11-08 20:53:33,300 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..order_attach_info"
2017-11-08 20:53:33,301 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..order_attach_info"
2017-11-08 20:53:33,301 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "attch_info", data type -1, in table "study..order_attach_info"
2017-11-08 20:53:33,302 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "log_uid", data type 12, in table "study..order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_uid", data type 12, in table "study..order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operate_status", data type 12, in table "study..order_log"
2017-11-08 20:53:33,308 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operator", data type 12, in table "study..order_log"
2017-11-08 20:53:33,309 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operate_date", data type 93, in table "study..order_log"
2017-11-08 20:53:33,309 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "log_type", data type 12, in table "study..order_log"
2017-11-08 20:53:33,309 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "description", data type 12, in table "study..order_log"
2017-11-08 20:53:33,309 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "remark", data type 12, in table "study..order_log"
2017-11-08 20:53:33,310 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "order_policy"
2017-11-08 20:53:33,321 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "policy_uid", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,321 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,321 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "policy_no", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_good_uid", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "policy_company", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "policy_product_name", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "id_number", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "name", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "birthday", data type 93, in table "study..order_policy"
2017-11-08 20:53:33,322 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "sex", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "beneficiary", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "phone", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "mail", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "effect_date", data type 93, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "last_duration", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operate_date", data type 93, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operator", data type 12, in table "study..order_policy"
2017-11-08 20:53:33,323 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "policy_status", data type -6, in table "study..order_policy"
2017-11-08 20:53:33,325 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "order_refund"
2017-11-08 20:53:33,329 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_refund_uid", data type 1, in table "study..order_refund"
2017-11-08 20:53:33,329 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_uid", data type 12, in table "study..order_refund"
2017-11-08 20:53:33,329 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "refund_sequence", data type 12, in table "study..order_refund"
2017-11-08 20:53:33,329 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "refund_amount", data type 3, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "refund_status", data type -6, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "confirm_date", data type 93, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "refund_date", data type 93, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "refund_remark", data type 12, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operate_date", data type 93, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "operator", data type 12, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..order_refund"
2017-11-08 20:53:33,330 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..order_refund"
